BOISSELIER  JULIEN
BOJANA NOVAKOVIV  (NOVAKOVIC  BOJANA)
BONNAIRE    SANDRINE  
BONNIE  HUNT
BORIS  KARLOFF
BORYS  SZYC
BOTI  BLISS
BOURVIL
BRAD DOURIF
BRAD GREENQUIST
BRAD  HARRIS
BRAD HUNT
BRAD  JOHNSON
BRAD  MC  MURRAY				
BRAD PITT
BRAD RENFRO
BRADLEY  COOPER
BRANDON  AURET
BRANDY LEDFORD
BREL  JACQUES
BRENDA SONG
BRENDAN  FERH				
BRENDAN  FRASER
BRENDAN  GLEESON
BRENT  HUFF
BRETT HASLEY
BRETT KELLY
BRIALY J C
BRIAN COX
BRIAN  DENNEHY
BRIAN  DONLEVY	
BRIAN  GLOVER
BRIAN J WHITE		
BRIAN KRAUSE
BRICK BRONSKY
BRIGITTE BARDOT
BRIGITTE  FOSSEY
BRIGITTE   MIRA	
BRIGITTE NIELSEN  (NIELSEN  BRIGITTE )	
BRITANY DANIEL	
BRITANY MURPHY
BRITT  ROBERSON
BRODERICK  CRAWFORD
BROLIN JOSH
BRONTIS JODOROWSKY
BRUCE  BOXLEITNER
BRUCE CAMPBELL
BRUCE  DAVISSON
BRUCE DERN
BRUCE  GLOVER
BRUCE  GREENWOOD
BRUCE LEE  
BRUCE  PAYNE
BRUCE WILLIS      	
BRUNO  BARNABE
BRUNO  CREMER
BRUNO  GANZ
BRUNO  HENRY
BRUNO  LOCHET	
BRUNO PODALYDES  (PODALYDES  BRUNO ET DENIS)
BRUNO  TODESHINI
BRUNO  WOLKOWITCH
BRYCE JOHNSSON
BRYNDIS  GUNNLAUGSDOTTIR
BUBBA SMITH
BULLE OGIER   (OGIER   BULLE)
BULLOK   SANDRA 
BURIC  ZLATO
BURT  LANCASTER
BURT REYNOLDS
BUSEY  GARY
BUSEY JACK		

C THOMAS  HOWELL 
CAAN JAMES
CAGNEY  JAMES
CAITLIN WACHS
CAMERON  DADDO
CAMERON DIAZ
CAMERON  MITCHELL
CAMILLA BELLE
CAMPBELL  SCOTT
CANDICE  MOON
CARICE VANHOUTEN
CARLA  CASSOLA
CARLO  TAMBERLANI  
CARMEN  ELEKTRA
CARMEN MAURA
CAROLE BOUQUET
CAROLE  LAURE
CAROLE  LOMBARD
CAROLINE  DHAVERNAS
CAROLINE MUNRO
CAROLINE  WILLIAMS
CARRADINE   DAVID  
CARRADINE  JOHN 
CARRADINE   KEITH
CARRADINE  ROBERT		
CARRE ISABELLE
CARSON  AUNE
CARTON  PAULINE
CARY ELWES
CASPER VAN DIEN
CASSAVETES  JOHN
CASSI  THOMSON
CASSIDY JOHANA
CASSIE  KYLE
CASSIE  SCERBO (Scerbo cassie)
CATE BLANCHETT
CATHERINE  BELL
CATHERINE DENEUVE
CATHERINE FROT
CATHERINE JACOB
CATHERINE SUTHERLAND
CATHERINE ZETA JONES
CECILE  CASSEL
CECILE DE France
CECILE  BOIS				
CELINE  BONNIER
CELINE  SALETTE
CERINA  VINCENT
CHAIMONGKOL SUPAKSON  (SUPAKSON  CHAIMONGKOL)
CHANCELLOR  MILLER
CHANDLER  JEFF
CHANDRA WEST
CHANNIG  TATUM
CHARITY  SHEA
CHARLENE  CHOI
CHARLES  BAKER
CHARLES BERLING
CHARLES  BOYER
CHARLES  BRONSON
CHARLES  COBURN
CHARLES  DANCE
CHARLES DENNER
CHARLES DRAKE
CHARLES  EDWIN  POWELL
CHARLES GERARD
CHARLES  GRAY
CHARLES HALFORD
CHARLES  KEMPER
CHARLES  LAUGHTON
CHARLES NAPIER  (NAPIER  CHARLES)
CHARLES  S  DUTTON
CHARLES  VANEL
CHARLIE CHAPLIN
CHARLIE  MC  DERMOTT
CHARLIE SHEEN   (SHEEN   CHARLIE)
CHARLIE  TRAIRAT
CHARLITA
CHARLIZE THERON
CHARLOTS

CHARLOTTE GAINSBOURG
CHARLOTTE RAMPLING
CHARLOTTE  SALT
CHARLTON HESTON	
CHATCHAI  PLENGPANICH
CHEECH MARIN
CHELAN  SIMMONS
CHEN  CHAN
CHEON HO JIN
CHEUNG TAT MING
CHEVALIER  MAURICE
CHEVY CHASE
CHIA  HUI  LIU
CHIA YUNG LIU
CHIARA	   MASTROIANI
CHIARA  SANI
CHIEKO NAKAKITA (NAKAKITA  CHIEKO)
CHIN YUET SANG
CHING  WAN  LAU
CHLOE GRACE MORETZ
CHLOE  SEVIGNY
CHOW YUN FAT		
CHRIS  CARMACK
CHRIS  COPPOLA
CHRIS  EVANS
CHRIS FERRY
CHRIS  PINE
CHRIS ROCK
CHRIS  SARANDON
CHRIS  WILSON
CHRISTELLE  CORNIL
CHRISTIAN BALE
CHRISTIAN  CAMPBELL
CHRISTIAN  CLAVIER
CHRISTIAN KANE
CHRISTIAN  REDL
CHRISTIAN  SLATER
CHRISTIANE HORBIGER
CHRISTINA RICCI
CHRISTINE BOISSON
CHRISTINE  BOTOMLEY
CHRISTINE CHATELAIN
CHRISTINE  CITTI
CHRISTINE KAUFFMAN
CHRISTOPHE  BOURSEILLER
CHRISTOPHE    LAMBERT
CHRISTOPHE  MALAVOY
CHRISTOPHER  ATKINS
CHRISTOPHER  CORDELL
CHRISTOPHER  DENHAM
CHRISTOPHER ECCLESTON
CHRISTOPHER  KRIESA
CHRISTOPHER LEE
CHRISTOPHER LLOYD
CHRISTOPHER MAC DONALD		
CHRISTOPHER  MELONI
CHRISTOPHER  NEAME  (NEAME CHRISTOPHER )
CHRISTOPHER PLUMMER			.	
CHRISTOPHER REEVES
CHRISTOPHER RYDELL
CHRISTOPHER WALKEN
CHRISTY  CARLSON ROMANO
CHUCK NORRIS   (NORRIS  CHUCK )
CIARAN  HINDS
CILLIAN MURPHY
CINDY  SAMPSON 
CLAIRE  BLOOM
CLAIRE  BOROTRA
CLAIRE  KEIM
CLARA  COLISSIMO
CLARA  VODA
CLARK  GABLE
CLAUDE  AKINS
CLAUDE  BERRI
CLAUDE BRASSEUR
CLAUDE  CERVAL
CLAUDE  DAUPHIN
CLAUDE LEGAULT    
CLAUDIA CARDINALE
CLAUDIA  JURT			
CLAYTON  ROHNER
CLE BENETT
CLEESE JOHN
CLEMENTINE  CELARIE
CLIFF  CURTIS
CLIFF ROBERTSON
CLINT EASTWOOD
CLINT HOWARD
CLIVE OWEN
CLOTILDE HESME
CLOVIS  CORNILLAC
COLE HAUSER
COLEEN CAMP
COLEEN  GRAY
COLIN FARREL
COLIN FIRTH
COLIN  HANKS
COLLIN  CHOU
COLM  MEANEY
COLUCHE
CONAN  LEE
CONNIE NIELSEN  (NIELSEN    CONNIE )
CONSTANTIN FLORESCU
COOLIO
CORBIN   BERNSEN
COREY FELDMAN
COREY  PAGE
CORIN NEMEC (NEMEC CORIN)
CORINNA  HARFOUCH
CORINNE  TOUZET
CORNEL  WILDE
CORY  CASSISY
COSIMO CINIERI
COSTAS    MANDYLOR
COURBEY  JULIEN
COURTENEY  COX
COURTNEY  HALVERSON
CRAIG HALL
CRAIG  HILL
CRAIG SHEFFER
CRAWFORD  JOAN
CRYSTAL LOWE
CUBA GOODING
CURD  JURGENS
